user,image_a,image_b,filter_a,filter_b,intensity_a,intensity_b,selected_filter,selected_intensity,resptime
yes,Ocean_Lark_50.jpg,Ocean_Clarendon_50.jpg,Lark,Clarendon,50,50,Lark,50,0.418776
yes,Girl1_Juno_75.jpg,Girl1_Lark_50.jpg,Juno,Lark,75,50,Lark,50,0.334624
yes,Girl1_Juno_75.jpg,Girl1_Clarendon_100.jpg,Juno,Clarendon,75,100,Clarendon,100,0.465222
yes,Ocean_Lark_25.jpg,Ocean_Juno_25.jpg,Lark,Juno,25,25,Juno,25,0.406582
yes,Girl1_Juno_100.jpg,Girl1_Juno_50.jpg,Juno,Juno,100,50,Juno,100,0.443679
yes,Ocean_Clarendon_100.jpg,Ocean_Juno_25.jpg,Clarendon,Juno,100,25,Juno,25,0.335118
yes,Ocean_Lark_25.jpg,Ocean_Juno_100.jpg,Lark,Juno,25,100,Lark,25,0.562586
yes,Girl1_Lark_50.jpg,Girl1_Lark_25.jpg,Lark,Lark,50,25,Lark,25,0.49507
yes,Girl1_OG.jpg,Girl1_Lark_50.jpg,OG,Lark,0,50,Lark,50,4.825141
yes,Ocean_OG.jpg,Ocean_Lark_25.jpg,OG,Lark,0,25,OG,0,0.552474
yes,Ocean_Clarendon_75.jpg,Ocean_Juno_25.jpg,Clarendon,Juno,75,25,Juno,25,0.310648
yes,Girl1_Clarendon_75.jpg,Girl1_Juno_100.jpg,Clarendon,Juno,75,100,Juno,100,0.450757
yes,Girl1_Juno_25.jpg,Girl1_Lark_75.jpg,Juno,Lark,25,75,Lark,75,0.372991
yes,Ocean_Juno_50.jpg,Ocean_OG.jpg,Juno,OG,50,0,OG,0,0.386979
yes,Girl1_Clarendon_50.jpg,Girl1_Lark_25.jpg,Clarendon,Lark,50,25,Lark,25,0.47804
yes,Ocean_OG.jpg,Ocean_Juno_100.jpg,OG,Juno,0,100,Juno,100,0.552994
yes,Ocean_Juno_75.jpg,Ocean_OG.jpg,Juno,OG,75,0,Juno,75,0.418826
yes,Ocean_Clarendon_25.jpg,Ocean_Lark_75.jpg,Clarendon,Lark,25,75,Lark,75,0.313646
yes,Girl1_Lark_75.jpg,Girl1_Clarendon_25.jpg,Lark,Clarendon,75,25,Clarendon,25,0.486886
yes,Girl1_Lark_25.jpg,Girl1_Lark_100.jpg,Lark,Lark,25,100,Lark,100,0.460215
yes,Girl1_Juno_50.jpg,Girl1_OG.jpg,Juno,OG,50,0,OG,0,0.405069
yes,Ocean_Juno_75.jpg,Ocean_Juno_100.jpg,Juno,Juno,75,100,Juno,75,0.451886
yes,Girl1_OG.jpg,Girl1_Lark_75.jpg,OG,Lark,0,75,Lark,75,0.338086
