user,image_a,image_b,filter_a,filter_b,intensity_a,intensity_b,selected_filter,selected_intensity,resptime
yes,Ocean_Lark_50.jpg,Ocean_Juno_100.jpg,Lark,Juno,50,100,Lark,50,1.182434
yes,Ocean_Juno_75.jpg,Ocean_Clarendon_100.jpg,Juno,Clarendon,75,100,Clarendon,100,3.213547
yes,Girl1_Juno_50.jpg,Girl1_Juno_25.jpg,Juno,Juno,50,25,Juno,25,2.712242
yes,Girl1_Clarendon_75.jpg,Girl1_Clarendon_25.jpg,Clarendon,Clarendon,75,25,Clarendon,75,1.235569
yes,Ocean_OG.jpg,Ocean_Lark_100.jpg,OG,Lark,0,100,OG,0,1.046495
yes,Ocean_Lark_25.jpg,Ocean_Juno_75.jpg,Lark,Juno,25,75,Lark,25,9.460391
yes,Ocean_Lark_75.jpg,Ocean_Clarendon_100.jpg,Lark,Clarendon,75,100,Lark,75,2.983978
yes,Girl1_Clarendon_50.jpg,Girl1_Juno_100.jpg,Clarendon,Juno,50,100,Clarendon,50,1.249156
yes,Ocean_Clarendon_75.jpg,Ocean_Juno_50.jpg,Clarendon,Juno,75,50,Juno,50,8.247025
yes,Ocean_Juno_50.jpg,Ocean_Lark_25.jpg,Juno,Lark,50,25,Lark,25,2.388963
yes,Ocean_Lark_100.jpg,Ocean_Clarendon_50.jpg,Lark,Clarendon,100,50,Clarendon,50,1.376277
yes,Girl1_Lark_75.jpg,Girl1_Lark_25.jpg,Lark,Lark,75,25,Lark,25,4.049081
yes,Ocean_Lark_50.jpg,Ocean_Clarendon_50.jpg,Lark,Clarendon,50,50,Clarendon,50,1.923095
yes,Girl1_Juno_75.jpg,Girl1_Lark_50.jpg,Juno,Lark,75,50,Lark,50,2.278487
yes,Girl1_Juno_75.jpg,Girl1_Clarendon_100.jpg,Juno,Clarendon,75,100,Juno,75,1.012466
yes,Ocean_Lark_25.jpg,Ocean_Juno_25.jpg,Lark,Juno,25,25,Juno,25,1.157422
yes,Girl1_Juno_100.jpg,Girl1_Juno_50.jpg,Juno,Juno,100,50,Juno,50,1.194155
